region,team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
Europe,SOLARY,Chausette45,52,27,51.92,19194,369.12,24,0.46,18,0.35,105,2.02,132,2.54,463,8.9,88,1.69,33,0.63,18.18,375.97,49.6,119235,2292.98,78265,1505.1,40970,787.88,966,18.58,3586,68.96,22949,441.33,12646,243.19,10303,198.13,144,2.77,879,16.9,1535.55,29.53,1348.48,25.93,16107,309.75,17905,344.33,1803,34.67,1497.3,27171254,522524.12,9262.79,178.13,7272.66,139.86,2459.03,47.29,11272.91,216.79,6778.69,130.36,942.87,18.13,546.01,10.5,0.11,4823,92.75,6554,126.04,5754.8,110.67,4370.1,84.04,14624.35,281.24,13079.51,251.53,5914.99,113.75,9918.2,190.73,5835,112.21,3241.26,62.33,2794.42,2696.76,2872.6,31,0.6,60,1.15
Europe,ONE CHIP ARMY,Chippy,14,4,28.57,4670,333.57,10,0.71,2,0.14,22,1.57,29,2.07,111,7.93,30,2.14,7,0.5,34.48,434.91,45.83,35659,2547.07,23637,1688.36,12022,858.71,279,19.93,1051,75.07,7106,507.57,3880,277.14,3226,230.43,44,3.14,282,20.14,589.59,42.11,321.24,22.95,5988,427.71,4422,315.86,544,38.86,1526.07,7372403,526600.19,2346.35,167.6,1930.57,137.9,772.87,55.2,3053.05,218.07,1734.74,123.91,262.01,18.71,161.47,11.53,0.12,1328,94.86,1789.8,127.84,1690.5,120.75,1520.22,108.59,3529.59,252.11,3439.9,245.71,1609.88,114.99,2512.68,179.48,1629.38,116.38,907.75,64.84,2877.7,2740.93,3007.56,17,1.21,25,1.79
Europe,ENDPOINT CEX,Crispy,23,10,43.48,9979,433.87,15,0.65,9,0.39,57,2.48,57,2.48,220,9.57,47,2.04,14,0.61,26.32,392.9,51.2,56907,2474.22,38835,1688.48,18072,785.74,482,20.96,1593,69.26,12409,539.52,7608,330.78,4801,208.74,87,3.78,419,18.22,771.51,33.54,1084.37,47.15,5583,242.74,9692,421.39,1155,50.22,1468.92,12130971,527433.5,4390.7,190.9,3290.18,143.05,1003.32,43.62,5202.24,226.18,2964.54,128.89,517.41,22.5,149.8,6.51,0.09,1670,72.61,3029.4,131.71,2625.4,114.15,2163.68,94.07,6520.52,283.5,6002.39,260.97,2681.8,116.6,4414.6,191.94,2853.3,124.06,1416.34,61.58,2985.49,2867.79,3100.1,12,0.52,11,0.48
Europe,GAMERS FIRST,DORITO,41,22,53.66,14545,354.76,16,0.39,23,0.56,72,1.76,88,2.15,368,8.98,75,1.83,25,0.61,18.18,412.12,46.35,105692,2577.85,70372,1716.39,35320,861.46,819,19.98,3056,74.54,25206,614.78,15100,368.29,10106,246.49,168,4.1,867,21.15,2290.23,55.86,1273.71,31.07,15303,373.24,11160,272.2,1649,40.22,1566.74,23412288,571031.44,6788.17,165.57,6016.83,146.75,2876.67,70.16,8258.2,201.42,6342.8,154.7,1080.7,26.36,301.75,7.36,0.13,2374,57.9,4997.8,121.9,5235.5,127.7,4301.85,104.92,11379.85,277.56,10269.92,250.49,5411.79,131.99,7750.08,189.03,4800.99,117.1,3130.59,76.36,2696.75,2575.25,2801.49,45,1.1,42,1.02
Europe,ENDPOINT CEX,Deevo,23,10,43.48,8416,365.91,17,0.74,7,0.3,42,1.83,49,2.13,220,9.57,47,2.04,19,0.83,34.69,415.29,47,59513,2587.52,41991,1825.7,17522,761.83,487,21.17,1525,66.3,12328,536,7877,342.48,4451,193.52,92,4,394,17.13,1357.57,59.02,862.4,37.5,8267,359.43,6890,299.57,1394,60.61,1544.12,12686845,551601.94,3845.53,167.2,3419.04,148.65,1371.31,59.62,4897.41,212.93,3184.22,138.44,554.3,24.1,193.14,8.4,0.1,1849,80.39,3179.8,138.25,2667.8,115.99,2229.35,96.93,6406.61,278.55,5965.4,259.37,2670.55,116.11,4474.01,194.52,2696.82,117.25,1465.13,63.7,3039.18,2994.75,3076.43,26,1.13,27,1.17
Europe,EVIL GENIUSES,EG ivn. T&,28,16,57.14,10927,390.25,17,0.61,16,0.57,52,1.86,77,2.75,240,8.57,45,1.61,16,0.57,22.08,431.89,49.47,78497,2803.46,56634,2022.64,21863,780.82,691,24.68,1864,66.57,16762,598.64,10397,371.32,6365,227.32,119,4.25,528,18.86,1300.13,46.43,1183.45,42.27,9370,334.64,12662,452.21,1473,52.61,1551.52,16440630,587165.38,4925.09,175.9,4430.58,158.23,1722.37,61.51,6101.63,217.92,4238.09,151.36,738.29,26.37,223.71,7.99,0.12,1879,67.11,3590.8,128.24,3760,134.29,2992.37,106.87,8085.67,288.77,7083.27,252.97,3994.69,142.67,5067.23,180.97,3740.26,133.58,2270.52,81.09,2854.54,2722.97,2973.09,35,1.25,34,1.21
Europe,GROS NOOBZ,Ekon,16,6,37.5,5663,353.94,7,0.44,8,0.5,27,1.69,47,2.94,127,7.94,39,2.44,20,1.25,14.89,434.56,49.25,39182,2448.88,27534,1720.88,11648,728,353,22.06,1005,62.81,6896,431,3777,236.06,3119,194.94,47,2.94,266,16.62,582.14,36.38,528.57,33.04,7350,459.38,8018,501.12,1005,62.81,1589.08,8003487,500217.94,2253.93,140.87,2068.8,129.3,1031.95,64.5,3020.3,188.77,1972.04,123.25,362.36,22.65,220.73,13.8,0.1,2127,132.94,2278.8,142.43,1334.8,83.43,1039.6,64.97,4315.11,269.69,3615.82,225.99,1738.88,108.68,2756.6,172.29,1599.25,99.95,998.84,62.43,3055.7,2990.49,3117.63,10,0.62,14,0.88
Europe,BS+COMPETITION,EleXiT.,21,9,42.86,7425,353.57,17,0.81,8,0.38,30,1.43,65,3.1,187,8.9,57,2.71,20,0.95,26.15,377.34,46.66,48366,2303.14,33862,1612.48,14504,690.67,396,18.86,1226,58.38,7339,349.48,3976,189.33,3363,160.14,47,2.24,281,13.38,1009.73,48.08,709.31,33.78,4796,228.38,5709,271.86,684,32.57,1506.58,10961911,521995.75,3717.52,177.02,3197.5,152.26,815.12,38.82,4690.5,223.36,2596.18,123.63,443.46,21.12,121.75,5.8,0.13,944,44.95,2632,125.33,2517.5,119.88,2294.75,109.27,5435.41,258.83,5182.53,246.79,2547.6,121.31,3756.67,178.89,2629.04,125.19,1344.45,64.02,3023.83,3025.61,3016.02,14,0.67,20,0.95
Europe,KARMINE CORP,ExoTiiK,51,32,62.75,18596,364.63,41,0.8,29,0.57,62,1.22,152,2.98,366,7.18,75,1.47,25,0.49,26.97,412.67,47.92,125194,2454.78,91853,1801.04,33341,653.75,1088,21.33,2833,55.55,27279,534.88,16397,321.51,10882,213.37,189,3.71,903,17.71,2613.34,51.24,2036.7,39.94,16633,326.14,16896,331.29,2549,49.98,1538.72,26715718,523837.59,8413.93,164.98,7130.37,139.81,2714.67,53.23,10146.83,198.96,6797.34,133.28,1314.71,25.78,345.94,6.78,0.13,2655,52.06,6125.6,120.11,5826.8,114.25,4850.2,95.1,13408.75,262.92,11159.81,218.82,7099.14,139.2,8049.36,157.83,6207.12,121.71,4002.4,78.48,2833.57,2751.77,2915.04,41,0.8,49,0.96
Europe,TEAM BDS,Extra,42,23,54.76,14444,343.9,29,0.69,13,0.31,62,1.48,120,2.86,368,8.76,77,1.83,23,0.55,24.17,402.38,46.09,110535,2631.79,73163,1741.98,37372,889.81,851,20.26,3144,74.86,28339,674.74,15675,373.21,12664,301.52,188,4.48,1065,25.36,2201.86,52.43,1158.18,27.58,15169,361.17,11032,262.67,2747,65.4,1510.02,24008756,571637.06,7939.05,189.03,6383.69,151.99,2319.23,55.22,9472.18,225.53,6015.56,143.23,1154.21,27.48,349.52,8.32,0.12,3006,71.57,5552.1,132.19,5540.3,131.91,4323.77,102.95,12318.23,293.29,10228.94,243.55,6413,152.69,7440.89,177.16,5390.56,128.35,3810.55,90.73,2617.89,2499.17,2723.06,37,0.88,60,1.43
